instância,número de cidades,tempo de execução,custo da solução (GRASP),distância utilizada
att48,48,0.32,10782,ATT
berlin52,52,1.03,8043,EUC_2D
kroA100,100,4.42,22489,EUC_2D
kroA150,150,8.83,28612,EUC_2D
kroA200,200,35.67,31518,EUC_2D
kroB100,100,2.51,25393,EUC_2D
kroB150,150,19.61,26933,EUC_2D
kroB200,200,28.95,32060,EUC_2D
kroC100,100,3.93,22968,EUC_2D
kroD100,100,2.37,24721,EUC_2D
kroE100,100,4.04,24169,EUC_2D
lin105,105,4.72,18230,EUC_2D
pr107,107,4.42,44641,EUC_2D
pr124,124,6.65,61823,EUC_2D
pr136,136,5.02,107170,EUC_2D
pr144,144,5.00,61400,EUC_2D
pr152,152,6.70,79996,EUC_2D
pr76,76,1.90,121128,EUC_2D
rat195,195,21.24,2477,EUC_2D
rat99,99,2.72,1298,EUC_2D
st70,70,1.10,709,EUC_2D
